dataset,column,typeof,definition
prep_emission_intensity_output,XXX,character,The sector of the technology
prep_emission_intensity_output,year,double,The year of the data
prep_emission_intensity_output,region,character,The region for which the analysis has been run. Indicates which production assets have been considered and which scenario region is used
prep_emission_intensity_output,scenario_source,character,The publication the scenario data is based on
prep_emission_intensity_output,emission_factor_metric,character,"Indicates if the emission intensity related values refer to the projected activities of the underlying counterparty, to the economy wide benchmark, or to allocated levels of activity based on the scenarios"
prep_emission_intensity_output,emission_factor_value,double,The physical emission intensity level of the given 'emission_factor_metric'
prep_emission_intensity_output,label,character,"Same as 'emission_factor_metric', formatted for display in plot"
